"","X13_Trophic.lvl_2.2.5","X13_Trophic.lvl_2.6.3.5","X13_Trophic.lvl_3.6.4.5","X13_Trophic.lvl_4.6.5","X14_Feeding.type_grazing","X14_Feeding.type_ambusher","X14_Feeding.type_active.predator","X15_Diet_herbivore","X15_Diet_zoobenthivore","X15_Diet_detritus","X15_Diet_omnivore","X15_Diet_zooplankton","X15_Diet_piscivore","X17_Spawning.habitat_pelagic","X17_Spawning.habitat_benthic","X5_Max.length_20cm","X5_Max.length_20.50cm","X5_Max.length_50.100cm","X5_Max.length_100cm","X16_Spawning.period_spring","X16_Spawning.period_summer","X16_Spawning.period_autumn","X16_Spawning.period_winter"
"Sphy sph",0.0042,0.1528,0.686,0.157,0.666666667,0,0.333333333,0,0.333333333,0,0,0.333333333,0.333333333,1,0,0.007380074,0.933579336,0.05904059,0,0.333333333,0.5,0.166666667,0
"Spic fle",0.021,0.5476,0.4146,0.0168,1,0,0,0,0,0,0,1,0,0,1,0.994230769,0.003846154,0.001923077,0,0.75,0.25,0,0
"Spic mae",0.0105,0.1465,0.571667,0.271333,0.666666667,0,0.333333333,0,0.333333333,0,0,0.333333333,0.333333333,0,1,1,0,0,0,0.272727273,0.363636364,0.363636364,0
"Spic sma",0.055,0.833333,0.111667,0,1,0,0,0,0.142857143,0,0,0.857142857,0,0,1,0.997020854,0.000993049,0,0,0.636363636,0.272727273,0,0.090909091
"Spon can",0,0.911,0.089,0,0.9,0,0.1,0.1,0.7,0,0,0.1,0.1,0,1,1,0,0,0,0.64,0.2,0,0.16
"Squa aca",0,0.055,0.6165,0.3285,0.421568627,0,0.578431373,0,0.235294118,0,0,0.18627451,0.578431373,1,0,0,0,1,0,0.206896552,0.275862069,0.275862069,0.24137931
"Squa bla",0,0.123,0.810667,0.066333,0.6,0,0.4,0,0.6,0,0,0,0.4,1,0,0.014925373,0.641791045,0.343283582,0,0.25,0.25,0.25,0.25
"Squi man",0.00525,0.409,0.57,0.01575,0.923076923,0,0.076923077,0.076923077,0.846153846,0,0,0,0.076923077,0,1,1,0,0,0,0.5,0,0,0.5
"Step dia",0.24275,0.74325,0.014,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.25,0.75,0,0
"Symp cin",0,0.6715,0.3285,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
